T[s]	Sd/g[-]
0.000000	0.287500
0.002001	0.286476
0.004002	0.285451
0.006003	0.284427
0.008004	0.283402
0.010005	0.282378
0.012006	0.281354
0.014007	0.280329
0.016008	0.279305
0.018009	0.278280
0.020010	0.277256
0.022011	0.276232
0.024012	0.275207
0.026013	0.274183
0.028014	0.273158
0.030015	0.272134
0.032016	0.271110
0.034017	0.270085
0.036018	0.269061
0.038019	0.268036
0.040020	0.267012
0.042021	0.265988
0.044022	0.264963
0.046023	0.263939
0.048024	0.262914
0.050025	0.261890
0.052026	0.260866
0.054027	0.259841
0.056028	0.258817
0.058029	0.257792
0.060030	0.256768
0.062031	0.255744
0.064032	0.254719
0.066033	0.253695
0.068034	0.252670
0.070035	0.251646
0.072036	0.250622
0.074037	0.249597
0.076038	0.248573
0.078039	0.247548
0.080040	0.246524
0.082041	0.245500
0.084042	0.244475
0.086043	0.243451
0.088044	0.242426
0.090045	0.241402
0.092046	0.240378
0.094047	0.239353
0.096048	0.238329
0.098049	0.237304
0.100050	0.236280
0.102051	0.235256
0.104052	0.234231
0.106053	0.233207
0.108054	0.232182
0.110055	0.231158
0.112056	0.230134
0.114057	0.229109
0.116058	0.228085
0.118059	0.227060
0.120060	0.226036
0.122061	0.225012
0.124062	0.223987
0.126063	0.222963
0.128064	0.221939
0.130065	0.220914
0.132066	0.219890
0.134067	0.218865
0.136068	0.217841
0.138069	0.216817
0.140070	0.215792
0.142071	0.214768
0.144072	0.213743
0.146073	0.212719
0.148074	0.211695
0.150075	0.210670
0.152076	0.209646
0.154077	0.208621
0.156078	0.207597
0.158079	0.206573
0.160080	0.205548
0.162081	0.204524
0.164082	0.203499
0.166083	0.202475
0.168084	0.201451
0.170085	0.200426
0.172086	0.199402
0.174087	0.198377
0.176088	0.197353
0.178089	0.196329
0.180090	0.195304
0.182091	0.194280
0.184092	0.193255
0.186093	0.192231
0.188094	0.191207
0.190095	0.190182
0.192096	0.189158
0.194097	0.188133
0.196098	0.187109
0.198099	0.186085
0.200100	0.185060
0.202101	0.184036
0.204102	0.183011
0.206103	0.181987
0.208104	0.180963
0.210105	0.179938
0.212106	0.179688
0.214107	0.179688
0.216108	0.179688
0.218109	0.179688
0.220110	0.179688
0.222111	0.179688
0.224112	0.179688
0.226113	0.179688
0.228114	0.179688
